longitude,latitude,predicted_value
-117.0,32.5,100.6314
-116.5,31.5,121.14941
-116.5,32.0,148.03755
-116.5,32.5,97.93871
-116.0,30.5,122.959335
-116.0,31.0,126.03736
-116.0,31.5,122.89532
-116.0,32.0,122.63848
-116.0,32.5,149.35208
-115.5,30.0,74.52479
-115.5,30.5,86.85214
-115.5,31.0,39.082523
-115.5,31.5,108.52496
-115.5,32.0,112.490524
-115.5,32.5,129.93881
-115.0,29.5,39.068424
-115.0,30.0,93.75492
-115.0,31.0,76.522606
-115.0,32.0,82.7137
-115.0,32.5,58.710514
-114.5,27.5,88.54676
-114.5,29.0,53.315918
-114.5,29.5,103.364204
-114.5,32.0,86.45127
-114.0,27.0,93.169846
-114.0,27.5,75.73186
-114.0,28.0,88.670364
-114.0,28.5,40.63133
-114.0,29.0,76.545876
-114.0,29.5,101.51893
-114.0,32.0,85.83682
-113.5,27.0,91.346565
-113.5,27.5,89.82584
-113.5,28.0,83.71879
-113.5,31.5,148.90677
-113.0,27.0,87.8633
-113.0,28.0,94.09656
-113.0,31.5,94.780045
-112.5,26.5,97.64338
-112.5,27.0,87.81087
-112.5,27.5,148.22156
-112.5,29.0,114.10502
-112.5,30.0,78.974724
-112.5,30.5,83.29318
-112.5,31.0,80.73485
-112.5,31.5,97.82935
-112.0,25.0,74.76564
-112.0,25.5,67.23643
-112.0,26.0,69.536316
-112.0,26.5,87.01307
-112.0,29.0,92.01959
-112.0,29.5,79.09907
-112.0,30.5,91.21131
-112.0,31.0,90.99146
-112.0,31.5,139.9632
-111.5,24.5,76.51004
-111.5,25.0,76.041695
-111.5,25.5,87.167946
-111.5,26.0,95.40424
-111.5,26.5,124.92243
-111.5,28.5,117.10749
-111.5,29.5,104.304344
-111.5,30.0,102.528625
-111.5,30.5,103.73186
-111.5,31.0,93.21198
-111.0,24.5,96.73897
-111.0,25.0,120.641884
-111.0,28.0,148.54274
-111.0,28.5,85.92347
-111.0,29.0,93.799706
-111.0,29.5,98.0266
-111.0,30.0,83.859085
-111.0,31.0,77.51139
-110.5,24.0,102.242355
-110.5,27.5,144.9952
-110.5,28.0,105.253334
-110.5,28.5,136.54088
-110.5,29.0,113.50777
-110.5,29.5,66.41501
-110.5,30.0,80.60074
-110.5,30.5,101.897415
-110.5,31.0,85.97956
-110.0,23.0,110.21878
-110.0,23.5,107.36054
-110.0,27.5,69.534645
-110.0,28.0,98.54667
-110.0,28.5,75.351456
-110.0,29.0,67.970436
-110.0,30.0,77.401344
-110.0,30.5,85.079895
-110.0,31.0,81.33561
-109.5,27.0,86.27887
-109.5,27.5,87.18513
-109.5,28.0,104.960625
-109.5,28.5,71.71928
-109.5,29.0,80.28261
-109.5,29.5,87.713234
-109.5,30.0,84.23709
-109.5,30.5,78.69867
-109.0,26.0,101.84202
-109.0,26.5,82.60159
-109.0,27.0,84.58115
-109.0,27.5,70.205795
-109.0,28.0,76.186
-109.0,29.0,76.86852
-109.0,29.5,79.07707
-109.0,30.0,85.50866
-109.0,30.5,80.761284
-109.0,31.0,78.59015
-108.5,25.5,72.87413
-108.5,26.0,75.57964
-108.5,26.5,88.26734
-108.5,27.0,71.01278
-108.5,28.0,91.43447
-108.5,28.5,81.39376
-108.5,29.0,84.573555
-108.5,29.5,77.75467
-108.5,30.5,77.93932
-108.5,31.0,81.328125
-108.0,25.0,83.25025
-108.0,25.5,69.068146
-108.0,26.0,74.71265
-108.0,26.5,75.91998
-108.0,27.0,78.746704
-108.0,27.5,91.584595
-108.0,28.0,83.797325
-108.0,28.5,90.0746
-108.0,29.0,81.54704
-108.0,29.5,87.92871
-108.0,30.0,89.8447
-108.0,30.5,79.69156
-108.0,31.0,79.806244
-108.0,31.5,85.65733
-107.5,24.5,83.402916
-107.5,25.0,81.07374
-107.5,25.5,72.34795
-107.5,26.0,68.06896
-107.5,26.5,91.949646
-107.5,27.0,57.95166
-107.5,27.5,81.32402
-107.5,28.0,82.080154
-107.5,28.5,94.71508
-107.5,29.5,96.149895
-107.5,30.0,88.587166
-107.5,31.0,68.22774
-107.5,31.5,77.440094
-107.0,24.0,94.58842
-107.0,25.0,76.57872
-107.0,26.0,119.46111
-107.0,26.5,76.10172
-107.0,27.0,80.80533
-107.0,27.5,81.55379
-107.0,28.0,85.77087
-107.0,28.5,95.57279
-107.0,29.0,98.17077
-107.0,29.5,99.49834
-107.0,30.0,100.80844
-107.0,30.5,81.94013
-107.0,31.0,57.595894
-107.0,31.5,67.560326
-106.5,23.5,92.23236
-106.5,24.0,90.4689
-106.5,24.5,75.16423
-106.5,25.0,87.428
-106.5,25.5,69.106804
-106.5,26.0,66.871414
-106.5,26.5,84.28125
-106.5,27.0,77.58075
-106.5,27.5,80.74041
-106.5,28.5,93.91837
-106.5,29.0,94.36803
-106.5,29.5,86.43792
-106.5,30.0,79.64542
-106.5,30.5,86.83736
-106.5,31.0,74.725945
-106.5,31.5,74.44447
-106.0,23.0,111.92246
-106.0,23.5,140.11908
-106.0,24.0,85.72949
-106.0,24.5,84.81765
-106.0,25.0,64.04144
